# CMD: /usr/bin/time -v /users/Xinying/ozonedb/ycsb/bin/ycsb run ozonedb -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json
# devices=['sda6'] sectors_before=1123197304 sectors_after=1123221680
# elapsed_s=130.72 returncode=0

=== STDOUT ===
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
Starting compaction watcher
[OVERALL], RunTime(ms), 120098
[OVERALL], Throughput(ops/sec), 110382.82069643124
[TOTAL_GCS_PS_Scavenge], Count, 211
[TOTAL_GC_TIME_PS_Scavenge], Time(ms), 344
[TOTAL_GC_TIME_%_PS_Scavenge], Time(%), 0.2864327465902846
[TOTAL_GCS_PS_MarkSweep], Count, 0
[TOTAL_GC_TIME_PS_MarkSweep], Time(ms), 0
[TOTAL_GC_TIME_%_PS_MarkSweep], Time(%), 0.0
[TOTAL_GCs], Count, 211
[TOTAL_GC_TIME], Time(ms), 344
[TOTAL_GC_TIME_%], Time(%), 0.2864327465902846
[READ], Operations, 13256756
[READ], AverageLatency(us), 70.20145629896183
[READ], MinLatency(us), 3
[READ], MaxLatency(us), 269055
[READ], 95thPercentileLatency(us), 111
[READ], 99thPercentileLatency(us), 129
[READ], Return=OK, 13256756
[CLEANUP], Operations, 8
[CLEANUP], AverageLatency(us), 59763.375
[CLEANUP], MinLatency(us), 3118
[CLEANUP], MaxLatency(us), 96767
[CLEANUP], 95thPercentileLatency(us), 96767
[CLEANUP], 99thPercentileLatency(us), 96767

=== STDERR ===
[WARN]  Running against a source checkout. In order to get our runtime dependencies we'll have to invoke Maven. Depending on the state of your system, this may take ~30-45 seconds
[DEBUG]  Running 'mvn -pl site.ycsb:ozonedb-binding -am package -DskipTests dependency:build-classpath -DincludeScope=compile -Dmdep.outputFilterFile=true'
/usr/lib/jvm/java-8-openjdk-amd64/bin/java -cp /users/Xinying/ozonedb/ycsb/ozonedb/conf:/users/Xinying/ozonedb/ycsb/ozonedb/target/ozonedb-binding-0.18.0-SNAPSHOT.jar:/users/Xinying/.m2/repository/org/apache/htrace/htrace-core4/4.1.0-incubating/htrace-core4-4.1.0-incubating.jar:/users/Xinying/.m2/repository/org/slf4j/slf4j-api/1.7.25/slf4j-api-1.7.25.jar:/users/Xinying/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.12/HdrHistogram-2.1.12.jar:/users/Xinying/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar:/users/Xinying/.m2/repository/ozonedbjnimaven/demoproc-jni/1.0/demoproc-jni-1.0.jar:/users/Xinying/.m2/repository/ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar:/users/Xinying/.m2/repository/org/codehaus/jackson/jackson-mapper-asl/1.9.4/jackson-mapper-asl-1.9.4.jar:/users/Xinying/.m2/repository/org/slf4j/slf4j-simple/1.7.25/slf4j-simple-1.7.25.jar:/users/Xinying/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.4/jackson-core-asl-1.9.4.jar:/users/Xinying/ozonedb/ycsb/core/target/core-0.18.0-SNAPSHOT.jar site.ycsb.Client -db site.ycsb.db.OzoneDBClient -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json -t
Command line: -db site.ycsb.db.OzoneDBClient -threads 8 -s -P /users/Xinying/ozonedb/ycsb/workloads/generated_workloads/workloadc_1KB_1000000_1000000 -p status.interval=1 -p maxexecutiontime=120 -p operationcount=0 -p shared_config=/users/Xinying/ozonedb/src/config/local/shared_config_rocksdb.json -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/users/Xinying/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/users/Xinying/.m2/repository/org/slf4j/slf4j-simple/1.7.25/slf4j-simple-1.7.25.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
Maximum execution time specified as: 120 secs
2026-04-28 07:00:44:478 0 sec: 0 operations; 
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2026-04-28 07:00:45:477 1 sec: 0 operations; 
2026-04-28 07:01:11:477 27 sec: 2832074 operations; 112544 current ops/sec; [READ: Count=112543, Max=1744, Min=3, Avg=69.37, 90=103, 99=128, 99.9=247, 99.99=427] 
2026-04-28 07:01:12:477 28 sec: 2944446 operations; 112372 current ops/sec; [READ: Count=112369, Max=449, Min=3, Avg=69.46, 90=103, 99=128, 99.9=178, 99.99=402] 
2026-04-28 07:01:13:477 29 sec: 3056763 operations; 112317 current ops/sec; [READ: Count=112316, Max=3447, Min=3, Avg=69.44, 90=103, 99=128, 99.9=166, 99.99=422] 
2026-04-28 07:01:14:477 30 sec: 3169010 operations; 112247 current ops/sec; [READ: Count=112250, Max=1912, Min=3, Avg=69.54, 90=103, 99=128, 99.9=338, 99.99=442] 
2026-04-28 07:01:15:477 31 sec: 3281755 operations; 112745 current ops/sec; [READ: Count=112750, Max=1938, Min=3, Avg=69.24, 90=103, 99=128, 99.9=181, 99.99=435] 
2026-04-28 07:01:16:477 32 sec: 3394125 operations; 112370 current ops/sec; [READ: Count=112357, Max=3869, Min=3, Avg=69.45, 90=103, 99=127, 99.9=161, 99.99=419] 
2026-04-28 07:01:17:477 33 sec: 3506734 operations; 112609 current ops/sec; [READ: Count=112595, Max=2175, Min=3, Avg=69.31, 90=103, 99=128, 99.9=166, 99.99=429] 
2026-04-28 07:01:18:477 34 sec: 3619362 operations; 112628 current ops/sec; [READ: Count=112629, Max=741, Min=3, Avg=69.31, 90=103, 99=128, 99.9=159, 99.99=404] 
2026-04-28 07:01:19:477 35 sec: 3731678 operations; 112316 current ops/sec; [READ: Count=112323, Max=1732, Min=3, Avg=69.36, 90=103, 99=128, 99.9=164, 99.99=406] 
2026-04-28 07:01:20:477 36 sec: 3844317 operations; 112639 current ops/sec; [READ: Count=112627, Max=1488, Min=3, Avg=69.29, 90=103, 99=128, 99.9=188, 99.99=420] 
2026-04-28 07:01:21:477 37 sec: 3957230 operations; 112913 current ops/sec; [READ: Count=112913, Max=1608, Min=3, Avg=69.11, 90=103, 99=128, 99.9=164, 99.99=428] 
2026-04-28 07:01:22:477 38 sec: 4070497 operations; 113267 current ops/sec; [READ: Count=113270, Max=1598, Min=3, Avg=68.92, 90=103, 99=128, 99.9=188, 99.99=442] 
2026-04-28 07:01:23:477 39 sec: 4183092 operations; 112595 current ops/sec; [READ: Count=112590, Max=1791, Min=3, Avg=69.32, 90=103, 99=127, 99.9=172, 99.99=432] 
2026-04-28 07:01:24:477 40 sec: 4295571 operations; 112479 current ops/sec; [READ: Count=112477, Max=2155, Min=3, Avg=69.39, 90=103, 99=128, 99.9=172, 99.99=663] 
2026-04-28 07:01:25:477 41 sec: 4407892 operations; 112321 current ops/sec; [READ: Count=112327, Max=2359, Min=3, Avg=69.47, 90=104, 99=127, 99.9=153, 99.99=421] 
2026-04-28 07:01:26:477 42 sec: 4520042 operations; 112150 current ops/sec; [READ: Count=112149, Max=2141, Min=3, Avg=69.58, 90=104, 99=128, 99.9=176, 99.99=439] 
2026-04-28 07:01:27:477 43 sec: 4632352 operations; 112310 current ops/sec; [READ: Count=112307, Max=2040, Min=3, Avg=69.48, 90=103, 99=129, 99.9=169, 99.99=437] 
2026-04-28 07:01:28:477 44 sec: 4744050 operations; 111698 current ops/sec; [READ: Count=111695, Max=5399, Min=3, Avg=69.81, 90=103, 99=129, 99.9=211, 99.99=427] 
2026-04-28 07:01:29:477 45 sec: 4855933 operations; 111883 current ops/sec; [READ: Count=111886, Max=2147, Min=3, Avg=69.71, 90=104, 99=128, 99.9=227, 99.99=469] 
2026-04-28 07:01:30:477 46 sec: 4968064 operations; 112131 current ops/sec; [READ: Count=112136, Max=1577, Min=3, Avg=69.57, 90=104, 99=129, 99.9=162, 99.99=426] 
2026-04-28 07:01:31:477 47 sec: 5079982 operations; 111918 current ops/sec; [READ: Count=111915, Max=1704, Min=3, Avg=69.7, 90=104, 99=129, 99.9=167, 99.99=1401] 
2026-04-28 07:01:32:477 48 sec: 5192038 operations; 112056 current ops/sec; [READ: Count=112055, Max=1558, Min=3, Avg=69.63, 90=104, 99=128, 99.9=176, 99.99=416] 
2026-04-28 07:01:33:477 49 sec: 5303682 operations; 111644 current ops/sec; [READ: Count=111641, Max=2081, Min=3, Avg=69.89, 90=104, 99=128, 99.9=158, 99.99=412] 
2026-04-28 07:01:34:477 50 sec: 5415989 operations; 112307 current ops/sec; [READ: Count=112311, Max=1623, Min=3, Avg=69.48, 90=104, 99=129, 99.9=164, 99.99=418] 
2026-04-28 07:01:35:477 51 sec: 5527656 operations; 111667 current ops/sec; [READ: Count=111667, Max=6011, Min=3, Avg=69.85, 90=104, 99=128, 99.9=155, 99.99=400] 
2026-04-28 07:01:36:477 52 sec: 5640098 operations; 112442 current ops/sec; [READ: Count=112439, Max=1580, Min=3, Avg=69.37, 90=103, 99=128, 99.9=153, 99.99=407] 
2026-04-28 07:01:37:477 53 sec: 5751831 operations; 111733 current ops/sec; [READ: Count=111743, Max=1931, Min=3, Avg=69.82, 90=104, 99=129, 99.9=157, 99.99=1785] 
2026-04-28 07:01:38:477 54 sec: 5863969 operations; 112138 current ops/sec; [READ: Count=112130, Max=1631, Min=3, Avg=69.58, 90=104, 99=128, 99.9=154, 99.99=413] 
2026-04-28 07:01:39:477 55 sec: 5976131 operations; 112162 current ops/sec; [READ: Count=112168, Max=1637, Min=3, Avg=69.57, 90=104, 99=129, 99.9=192, 99.99=421] 
2026-04-28 07:01:40:477 56 sec: 6087717 operations; 111586 current ops/sec; [READ: Count=111579, Max=1764, Min=3, Avg=69.92, 90=104, 99=129, 99.9=211, 99.99=1359] 
2026-04-28 07:01:41:477 57 sec: 6199922 operations; 112205 current ops/sec; [READ: Count=112199, Max=1539, Min=3, Avg=69.54, 90=104, 99=128, 99.9=187, 99.99=424] 
2026-04-28 07:01:42:477 58 sec: 6312221 operations; 112299 current ops/sec; [READ: Count=112296, Max=1415, Min=3, Avg=69.48, 90=104, 99=128, 99.9=191, 99.99=423] 
2026-04-28 07:01:43:477 59 sec: 6424152 operations; 111931 current ops/sec; [READ: Count=111932, Max=1988, Min=3, Avg=69.71, 90=104, 99=129, 99.9=155, 99.99=1752] 
2026-04-28 07:01:44:477 60 sec: 6536360 operations; 112208 current ops/sec; [READ: Count=112207, Max=1780, Min=3, Avg=69.55, 90=104, 99=128, 99.9=150, 99.99=317] 
2026-04-28 07:01:45:477 61 sec: 6648417 operations; 112057 current ops/sec; [READ: Count=112056, Max=1847, Min=3, Avg=69.63, 90=104, 99=128, 99.9=162, 99.99=1336] 
2026-04-28 07:01:46:477 62 sec: 6760865 operations; 112448 current ops/sec; [READ: Count=112450, Max=1448, Min=3, Avg=69.4, 90=103, 99=129, 99.9=159, 99.99=368] 
2026-04-28 07:01:47:477 63 sec: 6873122 operations; 112257 current ops/sec; [READ: Count=112253, Max=1600, Min=3, Avg=69.49, 90=104, 99=128, 99.9=158, 99.99=1496] 
2026-04-28 07:01:48:477 64 sec: 6985486 operations; 112364 current ops/sec; [READ: Count=112368, Max=1744, Min=3, Avg=69.44, 90=103, 99=128, 99.9=152, 99.99=349] 
2026-04-28 07:01:49:477 65 sec: 7097866 operations; 112380 current ops/sec; [READ: Count=112381, Max=1839, Min=3, Avg=69.4, 90=103, 99=129, 99.9=164, 99.99=1510] 
2026-04-28 07:01:50:477 66 sec: 7210152 operations; 112286 current ops/sec; [READ: Count=112289, Max=1464, Min=3, Avg=69.51, 90=103, 99=128, 99.9=162, 99.99=408] 
2026-04-28 07:01:51:477 67 sec: 7322512 operations; 112360 current ops/sec; [READ: Count=112360, Max=1462, Min=3, Avg=69.45, 90=103, 99=128, 99.9=158, 99.99=1349] 
2026-04-28 07:01:52:477 68 sec: 7434429 operations; 111917 current ops/sec; [READ: Count=111906, Max=3903, Min=3, Avg=69.72, 90=103, 99=128, 99.9=193, 99.99=3285] 
2026-04-28 07:01:53:477 69 sec: 7547292 operations; 112863 current ops/sec; [READ: Count=112872, Max=1740, Min=3, Avg=69.15, 90=103, 99=128, 99.9=163, 99.99=425] 
2026-04-28 07:01:54:477 70 sec: 7659911 operations; 112619 current ops/sec; [READ: Count=112620, Max=1659, Min=3, Avg=69.29, 90=103, 99=128, 99.9=200, 99.99=1287] 
2026-04-28 07:01:55:477 71 sec: 7772344 operations; 112433 current ops/sec; [READ: Count=112431, Max=1610, Min=3, Avg=69.4, 90=103, 99=128, 99.9=185, 99.99=1334] 
2026-04-28 07:01:56:477 72 sec: 7884707 operations; 112363 current ops/sec; [READ: Count=112367, Max=1862, Min=3, Avg=69.46, 90=103, 99=128, 99.9=173, 99.99=1268] 
2026-04-28 07:01:57:477 73 sec: 7997090 operations; 112383 current ops/sec; [READ: Count=112383, Max=2277, Min=3, Avg=69.44, 90=103, 99=128, 99.9=153, 99.99=1448] 
2026-04-28 07:01:58:477 74 sec: 8109152 operations; 112062 current ops/sec; [READ: Count=112063, Max=7351, Min=3, Avg=69.65, 90=103, 99=128, 99.9=163, 99.99=445] 
2026-04-28 07:01:59:477 75 sec: 8222035 operations; 112883 current ops/sec; [READ: Count=112880, Max=1791, Min=3, Avg=69.13, 90=103, 99=128, 99.9=183, 99.99=1499] 
2026-04-28 07:02:00:477 76 sec: 8334702 operations; 112667 current ops/sec; [READ: Count=112671, Max=1500, Min=3, Avg=69.26, 90=103, 99=128, 99.9=161, 99.99=1255] 
2026-04-28 07:02:01:477 77 sec: 8446671 operations; 111969 current ops/sec; [READ: Count=111967, Max=2265, Min=3, Avg=69.7, 90=103, 99=128, 99.9=162, 99.99=1384] 
2026-04-28 07:02:02:477 78 sec: 8559131 operations; 112460 current ops/sec; [READ: Count=112458, Max=1591, Min=3, Avg=69.39, 90=103, 99=129, 99.9=228, 99.99=1444] 
2026-04-28 07:02:03:477 79 sec: 8670657 operations; 111526 current ops/sec; [READ: Count=111522, Max=1821, Min=3, Avg=69.97, 90=104, 99=129, 99.9=339, 99.99=1596] 
2026-04-28 07:02:04:477 80 sec: 8782956 operations; 112299 current ops/sec; [READ: Count=112303, Max=2103, Min=3, Avg=69.52, 90=103, 99=128, 99.9=210, 99.99=1571] 
2026-04-28 07:02:05:477 81 sec: 8894842 operations; 111886 current ops/sec; [READ: Count=111894, Max=1723, Min=3, Avg=69.77, 90=104, 99=128, 99.9=214, 99.99=1508] 
2026-04-28 07:02:06:477 82 sec: 9005646 operations; 110804 current ops/sec; [READ: Count=110802, Max=9399, Min=3, Avg=70.49, 90=103, 99=128, 99.9=179, 99.99=4751] 
2026-04-28 07:02:07:477 83 sec: 9118117 operations; 112471 current ops/sec; [READ: Count=112467, Max=3359, Min=3, Avg=69.42, 90=103, 99=128, 99.9=163, 99.99=1465] 
2026-04-28 07:02:08:477 84 sec: 9230136 operations; 112019 current ops/sec; [READ: Count=112022, Max=3051, Min=3, Avg=69.65, 90=103, 99=128, 99.9=164, 99.99=2277] 
2026-04-28 07:02:09:477 85 sec: 9341591 operations; 111455 current ops/sec; [READ: Count=111457, Max=8103, Min=3, Avg=70.02, 90=103, 99=128, 99.9=157, 99.99=1471] 
2026-04-28 07:02:10:477 86 sec: 9453469 operations; 111878 current ops/sec; [READ: Count=111883, Max=1797, Min=3, Avg=69.74, 90=104, 99=129, 99.9=166, 99.99=1352] 
2026-04-28 07:02:11:477 87 sec: 9564923 operations; 111454 current ops/sec; [READ: Count=111437, Max=5379, Min=3, Avg=70.01, 90=104, 99=129, 99.9=166, 99.99=1513] 
2026-04-28 07:02:12:477 88 sec: 9676862 operations; 111939 current ops/sec; [READ: Count=111943, Max=1481, Min=3, Avg=69.71, 90=104, 99=128, 99.9=161, 99.99=1218] 
2026-04-28 07:02:13:477 89 sec: 9788552 operations; 111690 current ops/sec; [READ: Count=111692, Max=3827, Min=3, Avg=69.87, 90=104, 99=128, 99.9=185, 99.99=1789] 
2026-04-28 07:02:14:477 90 sec: 9900196 operations; 111644 current ops/sec; [READ: Count=111643, Max=1459, Min=3, Avg=69.92, 90=104, 99=129, 99.9=279, 99.99=1330] 
2026-04-28 07:02:15:477 91 sec: 10011893 operations; 111697 current ops/sec; [READ: Count=111700, Max=1677, Min=3, Avg=69.86, 90=104, 99=129, 99.9=248, 99.99=1477] 
2026-04-28 07:02:16:477 92 sec: 10123565 operations; 111672 current ops/sec; [READ: Count=111671, Max=1601, Min=3, Avg=69.89, 90=104, 99=129, 99.9=187, 99.99=1338] 
2026-04-28 07:02:17:477 93 sec: 10235561 operations; 111996 current ops/sec; [READ: Count=111997, Max=1588, Min=3, Avg=69.7, 90=104, 99=128, 99.9=188, 99.99=1431] 
2026-04-28 07:02:18:477 94 sec: 10347028 operations; 111467 current ops/sec; [READ: Count=111469, Max=1766, Min=3, Avg=70.03, 90=104, 99=129, 99.9=220, 99.99=1471] 
2026-04-28 07:02:19:477 95 sec: 10458859 operations; 111831 current ops/sec; [READ: Count=111823, Max=2335, Min=3, Avg=69.78, 90=104, 99=128, 99.9=165, 99.99=1796] 
2026-04-28 07:02:20:477 96 sec: 10570814 operations; 111955 current ops/sec; [READ: Count=111957, Max=3401, Min=3, Avg=69.69, 90=103, 99=127, 99.9=152, 99.99=2275] 
2026-04-28 07:02:21:477 97 sec: 10682074 operations; 111260 current ops/sec; [READ: Count=111259, Max=2823, Min=3, Avg=70.14, 90=104, 99=128, 99.9=199, 99.99=1612] 
2026-04-28 07:02:22:477 98 sec: 10793970 operations; 111896 current ops/sec; [READ: Count=111890, Max=1668, Min=3, Avg=69.74, 90=104, 99=129, 99.9=157, 99.99=1296] 
